index	race	incar
17596	White	NA
9951	White	NA
11663	White	NA
8125	White	NA
22259	White	NA
9966	White	NA
6662	White	1
12166	White	NA
17322	White	NA
19164	White	NA
2699	White	NA
10028	White	NA
6216	White	1
4638	White	NA
10198	White	NA
22157	White	1
6577	White	NA
15226	White	1
4117	White	NA
15897	White	NA
7431	White	1
21618	White	NA
5128	White	NA
21139	White	NA
11901	White	1
1128	White	NA
11431	White	1
10326	White	1
21061	White	NA
12626	White	NA
11275	White	NA
2917	White	NA
19532	White	NA
8532	White	NA
21629	White	NA
21333	White	NA
734	White	NA
20184	White	NA
5234	White	1
13224	White	NA
14001	White	1
15644	White	NA
21251	White	NA
16711	White	NA
21803	White	NA
17534	White	NA
21153	White	NA
814	White	NA
10691	White	NA
17551	White	NA
1463	White	1
6961	White	1
481	White	1
10473	White	1
7394	White	NA
17863	White	NA
14490	White	NA
6624	White	NA
18298	White	1
10823	White	NA
64	White	NA
10174	White	1
5839	White	NA
14972	White	1
7505	White	NA
227	White	1
5475	White	NA
17365	White	NA
17369	White	1
14896	White	1
2409	White	1
22960	White	1
8842	White	NA
2469	White	NA
8153	White	NA
11114	White	NA
13621	White	1
16905	White	1
22051	White	NA
19455	White	NA
12184	White	1
9398	White	1
17285	White	1
17844	White	NA
2776	White	1
10043	White	NA
